! AeroL.Airfoil V2.0.0 Powered by 赵子祯
这个文件是适配OpenWECD 1.0.2及其之上的版本，支持OYE,IAG，GOR,ATEF 以及BL模型，模型的开启与否在AeroL 主文件当中
===========  翼型信息  (General data)  ===========
33                Thickness      - 翼型相对厚度 Thickness to chord radio(%)
1.E+07          ReyNum        - 雷诺数(Reynolds Number)(-)
25,0                PMCentre       - CM测量的位置(气动中心) Pitching Moment Centre(%)
"./NREL_FFA_W3_330Blend_Geo.txt"                Geometry       -  翼型的外形几何数据文件(必须填写，以实现VTK)
===========  翼型数据  (Aerofoil Database) ===========
120   NumAlf     - 翼型数据行数
      Alpha      Cl      Cd        Cm
     (deg)      (-)     (-)       (-)
-180.00	0.000	0.032	0.000
-177.71	0.070	0.032	0.091
-175.43	0.139	0.034	0.183
-173.14	0.209	0.037	0.274
-170.86	0.278	0.041	0.366
-168.57	0.348	0.046	0.403
-166.29	0.418	0.057	0.408
-164.00	0.487	0.083	0.413
-161.71	0.557	0.113	0.418
-159.43	0.626	0.145	0.426
-157.14	0.696	0.181	0.443
-154.86	0.766	0.220	0.460
-152.57	0.835	0.261	0.477
-150.29	0.905	0.305	0.494
-148.00	0.974	0.351	0.487
-143.86	0.894	0.439	0.468
-139.71	0.824	0.531	0.450
-135.57	0.758	0.625	0.440
-131.43	0.695	0.720	0.430
-127.29	0.631	0.813	0.426
-123.14	0.565	0.903	0.425
-119.00	0.498	0.987	0.425
-114.86	0.428	1.063	0.427
-110.71	0.357	1.132	0.428
-106.57	0.284	1.190	0.427
-102.43	0.211	1.236	0.426
-98.29	0.139	1.271	0.423
-94.14	0.068	1.292	0.417
-90.00	0.000	1.300	0.411
-85.86	-0.068	1.292	0.398
-81.71	-0.139	1.271	0.384
-77.57	-0.211	1.236	0.369
-73.43	-0.284	1.190	0.352
-69.29	-0.357	1.132	0.335
-65.14	-0.428	1.063	0.316
-61.00	-0.498	0.987	0.298
-56.86	-0.565	0.903	0.279
-52.71	-0.631	0.813	0.261
-48.57	-0.695	0.720	0.243
-44.43	-0.758	0.625	0.226
-40.29	-0.824	0.531	0.208
-36.14	-0.894	0.439	0.137
-32.00	-0.974	0.351	0.063
-28.00	-1.163	0.206	0.039
-24.00	-1.149	0.150	0.019
-20.00	-1.095	0.106	0.004
-18.00	-1.058	0.087	-0.001
-16.00	-1.023	0.071	-0.003
-14.00	-0.998	0.055	-0.004
-12.00	-0.985	0.041	-0.003
-10.00	-0.896	0.029	-0.012
-8.00	-0.675	0.022	-0.035
-6.00	-0.432	0.017	-0.055
-4.00	-0.159	0.015	-0.074
-2.00	0.135	0.014	-0.093
-1.00	0.280	0.013	-0.101
0.00	0.424	0.013	-0.108
1.00	0.565	0.013	-0.114
2.00	0.704	0.013	-0.120
3.00	0.841	0.014	-0.125
4.00	0.975	0.014	-0.130
5.00	1.107	0.014	-0.134
6.00	1.236	0.015	-0.138
7.00	1.362	0.015	-0.141
8.00	1.484	0.016	-0.144
9.00	1.601	0.017	-0.145
10.00	1.710	0.018	-0.146
11.00	1.810	0.020	-0.146
12.00	1.895	0.023	-0.145
13.00	1.957	0.027	-0.144
14.00	1.986	0.034	-0.142
15.00	1.993	0.043	-0.140
16.00	1.996	0.054	-0.138
18.00	1.964	0.077	-0.134
20.00	1.812	0.112	-0.131
24.00	1.561	0.191	-0.147
28.00	1.468	0.272	-0.172
32.00	1.392	0.351	-0.194
36.14	1.277	0.439	-0.218
40.29	1.177	0.531	-0.241
44.43	1.083	0.625	-0.257
48.57	0.993	0.720	-0.274
52.71	0.901	0.813	-0.289
56.86	0.808	0.903	-0.303
61.00	0.711	0.987	-0.318
65.14	0.612	1.063	-0.332
69.29	0.510	1.132	-0.346
73.43	0.406	1.190	-0.360
77.57	0.301	1.236	-0.374
81.71	0.198	1.271	-0.387
85.86	0.097	1.292	-0.399
90.00	0.000	1.300	-0.411
94.14	-0.068	1.292	-0.417
98.29	-0.139	1.271	-0.423
102.43	-0.211	1.236	-0.426
106.57	-0.284	1.190	-0.427
110.71	-0.357	1.132	-0.428
114.86	-0.428	1.063	-0.427
119.00	-0.498	0.987	-0.425
123.14	-0.565	0.903	-0.425
127.29	-0.631	0.813	-0.426
131.43	-0.695	0.720	-0.430
135.57	-0.758	0.625	-0.440
139.71	-0.824	0.531	-0.450
143.86	-0.894	0.439	-0.468
148.00	-0.974	0.351	-0.487
150.29	-0.905	0.305	-0.494
152.57	-0.835	0.261	-0.477
154.86	-0.766	0.220	-0.460
157.14	-0.696	0.181	-0.443
159.43	-0.626	0.145	-0.426
161.71	-0.557	0.113	-0.435
164.00	-0.487	0.083	-0.453
166.29	-0.418	0.057	-0.471
168.57	-0.348	0.046	-0.489
170.86	-0.278	0.041	-0.457
173.14	-0.209	0.037	-0.343
175.43	-0.139	0.034	-0.229
177.71	-0.070	0.032	-0.114
180.00	0.000	0.032	0.000





