! AeroL.Airfoil V2.0.0 Powered by 赵子祯
这个文件是适配OpenWECD 1.0.2及其之上的版本，支持OYE,IAG，GOR,ATEF 以及BL模型，模型的开启与否在AeroL 主文件当中
===========  翼型信息  (General data)  ===========
36                Thickness      - 翼型相对厚度 Thickness to chord radio(%)
1.E+07          ReyNum        - 雷诺数(Reynolds Number)(-)
25,0                PMCentre       - CM测量的位置(气动中心) Pitching Moment Centre(%)
"./NREL_FFA_W3_360_Geo.txt"                Geometry       -  翼型的外形几何数据文件(必须填写，以实现VTK)
===========  翼型数据  (Aerofoil Database) ===========
120   NumAlf     - 翼型数据行数
      Alpha      Cl      Cd        Cm
     (deg)      (-)     (-)       (-)
-180.00	0.000	0.037	0.000
-177.71	0.072	0.038	0.091
-175.43	0.144	0.040	0.183
-173.14	0.215	0.042	0.274
-170.86	0.287	0.047	0.366
-168.57	0.359	0.052	0.403
-166.29	0.431	0.061	0.408
-164.00	0.502	0.087	0.413
-161.71	0.574	0.116	0.418
-159.43	0.646	0.149	0.426
-157.14	0.718	0.184	0.444
-154.86	0.790	0.223	0.461
-152.57	0.861	0.265	0.479
-150.29	0.933	0.308	0.496
-148.00	1.005	0.354	0.488
-143.86	0.919	0.442	0.468
-139.71	0.844	0.534	0.448
-135.57	0.775	0.628	0.437
-131.43	0.708	0.722	0.426
-127.29	0.641	0.815	0.421
-123.14	0.573	0.904	0.421
-119.00	0.504	0.988	0.420
-114.86	0.433	1.065	0.422
-110.71	0.360	1.133	0.423
-106.57	0.286	1.191	0.423
-102.43	0.212	1.237	0.422
-98.29	0.139	1.271	0.419
-94.14	0.068	1.292	0.413
-90.00	0.000	1.300	0.407
-85.86	-0.068	1.292	0.394
-81.71	-0.139	1.271	0.382
-77.57	-0.212	1.237	0.367
-73.43	-0.286	1.191	0.350
-69.29	-0.360	1.133	0.334
-65.14	-0.433	1.065	0.316
-61.00	-0.504	0.988	0.298
-56.86	-0.573	0.904	0.280
-52.71	-0.641	0.815	0.262
-48.57	-0.708	0.722	0.245
-44.43	-0.775	0.628	0.228
-40.29	-0.844	0.534	0.211
-36.14	-0.919	0.442	0.135
-32.00	-1.005	0.354	0.055
-28.00	-1.113	0.205	0.032
-24.00	-1.054	0.154	0.013
-20.00	-0.982	0.110	-0.003
-18.00	-0.942	0.092	-0.007
-16.00	-0.893	0.076	-0.011
-14.00	-0.855	0.061	-0.013
-12.00	-0.823	0.046	-0.012
-10.00	-0.795	0.034	-0.011
-8.00	-0.636	0.025	-0.028
-6.00	-0.391	0.020	-0.051
-4.00	-0.131	0.017	-0.071
-2.00	0.162	0.015	-0.092
-1.00	0.311	0.015	-0.101
0.00	0.460	0.015	-0.110
1.00	0.606	0.015	-0.118
2.00	0.749	0.015	-0.125
3.00	0.889	0.015	-0.131
4.00	1.025	0.015	-0.136
5.00	1.159	0.016	-0.141
6.00	1.288	0.017	-0.145
7.00	1.413	0.017	-0.149
8.00	1.531	0.018	-0.151
9.00	1.641	0.020	-0.153
10.00	1.739	0.021	-0.153
11.00	1.820	0.024	-0.153
12.00	1.871	0.030	-0.151
13.00	1.892	0.038	-0.150
14.00	1.879	0.048	-0.146
15.00	1.881	0.058	-0.144
16.00	1.864	0.070	-0.141
18.00	1.733	0.102	-0.137
20.00	1.594	0.139	-0.141
24.00	1.467	0.210	-0.157
28.00	1.448	0.282	-0.180
32.00	1.436	0.354	-0.201
36.14	1.313	0.442	-0.224
40.29	1.206	0.534	-0.246
44.43	1.107	0.628	-0.261
48.57	1.011	0.722	-0.276
52.71	0.916	0.815	-0.291
56.86	0.819	0.904	-0.304
61.00	0.720	0.988	-0.318
65.14	0.618	1.065	-0.332
69.29	0.514	1.133	-0.345
73.43	0.409	1.191	-0.358
77.57	0.303	1.237	-0.372
81.71	0.199	1.271	-0.384
85.86	0.097	1.292	-0.395
90.00	0.000	1.300	-0.407
94.14	-0.068	1.292	-0.413
98.29	-0.139	1.271	-0.419
102.43	-0.212	1.237	-0.422
106.57	-0.286	1.191	-0.423
110.71	-0.360	1.133	-0.423
114.86	-0.433	1.065	-0.422
119.00	-0.504	0.988	-0.420
123.14	-0.573	0.904	-0.421
127.29	-0.641	0.815	-0.421
131.43	-0.708	0.722	-0.426
135.57	-0.775	0.628	-0.437
139.71	-0.844	0.534	-0.448
143.86	-0.919	0.442	-0.468
148.00	-1.005	0.354	-0.488
150.29	-0.933	0.308	-0.496
152.57	-0.861	0.265	-0.479
154.86	-0.790	0.223	-0.461
157.14	-0.718	0.184	-0.444
159.43	-0.646	0.149	-0.426
161.71	-0.574	0.116	-0.435
164.00	-0.502	0.087	-0.453
166.29	-0.431	0.061	-0.471
168.57	-0.359	0.052	-0.489
170.86	-0.287	0.047	-0.457
173.14	-0.215	0.042	-0.343
175.43	-0.144	0.040	-0.229
177.71	-0.072	0.038	-0.114
180.00	0.000	0.037	0.000





